dataset,scenario,r1_mean,r1_std,r5_mean,r5_std,r10_mean,r10_std,mrr_mean,mrr_std,ndcg_mean,ndcg_std
scifact,clean_no_attack,0.62,0.0,0.81,0.0,0.88,0.0,0.7028809523809526,1.1102230246251565e-16,0.7402666894682873,1.1102230246251565e-16
scifact,poisoned_no_defense,0.0,0.0,0.5566666666666666,0.012472191289246443,0.85,0.008164965809277268,0.18601455026455016,0.0019250526757398126,0.34133143950051115,0.002974533630593644
scifact,poisoned_viper,0.58,0.0,0.77,0.0,0.84,0.0,0.6628809523809526,0.0,0.7002666894682873,1.1102230246251565e-16
nfcorpus,clean_no_attack,0.5,0.0,0.69,0.0,0.71,0.0,0.5755277777777777,0.0,0.3863602700533357,5.551115123125783e-17
nfcorpus,poisoned_no_defense,0.0,0.0,0.5966666666666667,0.004714045207910321,0.69,0.0,0.21819444444444436,0.0023305038994380993,0.2330093184789386,0.0010923792874995646
nfcorpus,poisoned_viper,0.42333333333333334,0.012472191289246483,0.66,0.0,0.6866666666666666,0.004714045207910268,0.521781746031746,0.005440335809148337,0.35824523749817705,0.0014233469200898986
