dataset,method,asr_mean,asr_std,f1_mean,f1_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std,latency_ms_mean,latency_ms_std
scifact,no_defense,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.330291263640873e-06,1.2749851583599253e-06
scifact,krum,0.7639999999999999,0.005656854249492385,0.1909677419354839,0.0021070879507812043,0.0902,0.00016329931618554421,0.14095238095238094,0.0015552315827194704,0.296,0.0032659863237109073,0.30326803903731087,0.0028828015002643256
scifact,fltrust,0.7799999999999999,0.00979795897113272,0.18048352499965403,0.005350535911364222,0.09113333333333333,0.0002494438257849255,0.13315743501701757,0.0038707661895808353,0.28,0.008640987597877129,0.0003643338642423115,6.486953941543128e-06
scifact,isolation_forest,0.8933333333333334,0.016438437341250618,0.14944769330734242,0.0018378343890488695,0.04493333333333333,9.428090415820577e-05,0.14575411913814953,0.0017924126265818718,0.15333333333333332,0.0018856180831641283,0.04872988140772259,0.0001880168816059226
scifact,lof,0.7719999999999999,0.008640987597877155,0.2807017543859649,0.0031832225377299486,0.038200000000000005,0.00016329931618554421,0.27376425855513303,0.0031045497373677834,0.288,0.0032659863237109073,0.06859406970796132,0.004800610896623013
scifact,strip,0.7386666666666667,0.040835714216302846,0.2603295984831024,0.015600962619477516,0.13206666666666667,0.0029044027881055924,0.17100237390347664,0.009651199778905752,0.5453333333333333,0.040309910554215914,1.7880308363172743,0.027383718520875202
scifact,viper,0.0,0.0,0.5436860896287571,0.0024269475010286453,0.08393333333333335,0.0008219218670625312,0.37333409924079425,0.002287777121614069,1.0,0.0,3.315067488049704,0.025884334703436773
nfcorpus,no_defense,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.919411172672194e-06,2.308946780775962e-07
nfcorpus,krum,0.36000000000000004,0.004665694748158445,0.4788213627992634,0.0030073538892365524,0.068,0.0002332847374079211,0.35326086956521746,0.0022187407090427437,0.7428571428571429,0.004665694748158445,0.2164069973692602,0.004333382063884465
nfcorpus,fltrust,0.33142857142857146,0.01616244071283538,0.4886433394720688,0.00868148288749601,0.06723809523809525,0.0006734350297014754,0.3605072463768116,0.006404952728138994,0.7580952380952382,0.01346870059402948,0.0003418306104179954,1.6620703188296207e-05
nfcorpus,isolation_forest,0.6057142857142858,0.03265986323710906,0.49025069637883006,0.02840679394759211,0.027428571428571427,0.0014568627181693666,0.47826086956521735,0.027712062573873805,0.5028571428571428,0.029137254363387315,0.06878277612110927,0.0005970864013488549
nfcorpus,lof,0.5295238095238095,0.01638538146103359,0.5663881151346333,0.002626209029476565,0.02352380952380952,0.00013468700594029606,0.552536231884058,0.002561981091255618,0.580952380952381,0.0026937401188058753,0.0531238547258096,0.0011749027280106154
nfcorpus,strip,0.7123809523809523,0.023483481916072302,0.2694113297632949,0.015242770496123699,0.1359047619047619,0.002783169370705228,0.17556103320045383,0.009650277464702423,0.579047619047619,0.03742263372264475,1.4182615172025026,0.051833032941780564
nfcorpus,viper,0.08,0.01682240165014828,0.5603407614040551,0.004780260794135746,0.07333333333333332,0.0012848321488792402,0.3956465670889977,0.004421380128416146,0.96,0.004665694748158445,3.2747403402177113,0.006827847162058737
