config,centroid,trap,core,asr_mean,asr_std,f1_mean,f1_std,fpr_mean,fpr_std,recall@5_mean,recall@5_std,ndcg@10_mean,ndcg@10_std
centroid_only,True,False,False,0.8106666666666666,0.016110727964792727,0.18407960199004977,0.007446084351788936,0.07166666666666667,0.000498887651569862,0.5733333333333334,0.016996731711975913,0.4069143848788561,0.0050751013140520156
trap_only,False,True,False,0.7760000000000001,0.014236104336041762,0.3196601450841608,0.010842097873682267,0.04073333333333334,0.0004109609335312656,0.62,0.016329931618554536,0.45708387503460096,0.005339049066711566
core_only,False,False,True,0.0,0.0,0.99734395750332,0.001878105660522037,0.0002666666666666667,0.0001885618083164127,0.81,0.0,0.7402666894682873,1.1102230246251565e-16
centroid_trap,True,True,False,0.7333333333333334,0.016438437341250618,0.24815119763194957,0.006661403972767258,0.08366666666666667,0.0009977753031397178,0.5833333333333334,0.012472191289246483,0.43959579087933626,0.0030545005585768
centroid_core,True,False,True,0.0,0.0,0.5816235858641301,0.0012777319818642753,0.07193333333333334,0.0003771236166328231,0.77,0.0,0.7002666894682873,1.1102230246251565e-16
trap_core,False,True,True,0.0,0.0,0.709222716081222,0.0014247050906606717,0.041,0.00028284271247462053,0.8066666666666666,0.004714045207910321,0.7369333561349539,0.004714045207910321
full_viper,True,True,True,0.0,0.0,0.5436860896287571,0.0024269475010286453,0.08393333333333335,0.0008219218670625312,0.77,0.0,0.7002666894682873,1.1102230246251565e-16
