encoder,method,dataset,asr_mean,asr_std,f1_mean,f1_std,fpr_mean,fpr_std,latency_ms_mean,latency_ms_std
all-MiniLM-L6-v2,no_defense,scifact,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all-MiniLM-L6-v2,viper,scifact,0.0,0.0,0.555,0.002,0.08,0.001,3.452,0.004
